Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
McDonald’s,Hamburger,Burger,250,Low,80,Low,9,Low,3.5,Low,0.5,Low,25,Low,520,Low,31,Low,2,Low,6,Low,12,Low,247.5,Low
McDonald’s,Cheeseburger,Burger,300,Low,110,Low,12,Low,6,Low,0.5,Low,40,Low,750,Low,33,Low,2,Low,6,Low,15,Low,297,Low
McDonald’s,Double Cheeseburger,Burger,440,Mid,210,Low,23,Low,11,Low,1.5,Low,80,Low,1150,Mid,34,Low,2,Low,7,Low,25,Mid,433,Low
McDonald’s,McDouble,Other,390,Low,170,Low,19,Low,8,Low,1,Low,65,Low,920,Low,33,Low,2,Low,7,Low,22,Low,383,Low
McDonald’s,Quarter Pounder® with Cheese,Other,510,Mid,230,Low,26,Low,12,Mid,1.5,Low,90,Low,1190,Mid,40,Low,3,Low,9,Low,29,Mid,502,Mid
McDonald’s,Double Quarter Pounder® with Cheese,Other,740,Mid,380,Mid,42,Mid,19,Mid,2.5,Mid,155,Low,1380,Mid,40,Low,3,Low,9,Low,48,High,720,Mid
McDonald’s,Big Mac®,Other,540,Mid,260,Mid,29,Low,10,Low,1.5,Low,75,Low,1040,Mid,45,Low,3,Low,9,Low,25,Mid,534,Mid
McDonald’s,Big N’ Tasty®,Other,460,Mid,220,Low,24,Low,8,Low,1.5,Low,70,Low,720,Low,37,Low,3,Low,8,Low,24,Mid,452,Mid
McDonald’s,Big N’ Tasty® with Cheese,Other,510,Mid,250,Low,28,Low,11,Low,1.5,Low,85,Low,960,Low,38,Low,3,Low,8,Low,27,Mid,502,Mid
McDonald’s,Angus Bacon & Cheese,Other,790,Mid,350,Mid,39,Mid,17,Mid,2,Mid,145,Low,2070,High,63,Low,4,Low,13,Low,45,Mid,775,Mid
McDonald’s,Angus Deluxe,Other,750,Mid,350,Mid,39,Mid,16,Mid,2,Mid,135,Low,1700,Mid,61,Low,4,Low,10,Low,40,Mid,736,Mid
McDonald’s,Angus Mushroom & Swiss,Other,770,Mid,360,Mid,40,Mid,17,Mid,2,Mid,135,Low,1170,Mid,59,Low,4,Low,8,Low,44,Mid,751,Mid
McDonald’s,Filet-O-Fish®,Other,380,Low,170,Low,18,Low,3.5,Low,0,Low,40,Low,640,Low,38,Low,2,Low,5,Low,15,Low,373.5,Low
McDonald’s,McChicken ®,Chicken Sandwich / Wrap,360,Low,150,Low,16,Low,3,Low,0,Low,35,Low,830,Low,40,Low,2,Low,5,Low,14,Low,354,Low
McDonald’s,McRib ®,Other,500,Mid,240,Low,26,Low,10,Low,0,Low,70,Low,980,Mid,44,Low,3,Low,11,Low,22,Low,499,Mid
McDonald’s,Premium Grilled Chicken Classic Sandwich,Chicken Sandwich / Wrap,360,Low,80,Low,9,Low,2,Low,0,Low,65,Low,820,Low,41,Low,4,Low,8,Low,27,Mid,343,Low
McDonald’s,Premium Crispy Chicken Classic Sandwich,Chicken Sandwich / Wrap,510,Mid,200,Low,22,Low,3.5,Low,0,Low,45,Low,990,Mid,56,Low,3,Low,10,Low,24,Mid,499.5,Mid
McDonald’s,Premium Grilled Chicken Club Sandwich,Chicken Sandwich / Wrap,460,Mid,150,Low,17,Low,6,Low,0,Low,90,Low,1040,Mid,43,Low,4,Low,9,Low,35,Mid,440,Mid
McDonald’s,Premium Crispy Chicken Club Sandwich,Chicken Sandwich / Wrap,620,Mid,260,Mid,29,Low,7,Low,0,Low,70,Low,1200,Mid,57,Low,3,Low,11,Low,31,Mid,607,Mid
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,Chicken Sandwich / Wrap,380,Low,90,Low,10,Low,3,Low,0,Low,75,Low,1000,Mid,41,Low,4,Low,9,Low,31,Mid,361,Low
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,Chicken Sandwich / Wrap,540,Mid,210,Low,23,Low,4.5,Low,0,Low,55,Low,1160,Mid,56,Low,3,Low,11,Low,27,Mid,528.5,Mid
McDonald’s,Southern Style Crispy Chicken Sandwich,Chicken Sandwich / Wrap,400,Low,150,Low,17,Low,3,Low,0,Low,45,Low,1030,Mid,39,Low,1,Low,6,Low,24,Mid,385,Low
McDonald’s,Ranch Snack Wrap® (Crispy),Chicken Sandwich / Wrap,340,Low,150,Low,17,Low,4.5,Low,0,Low,30,Low,810,Low,33,Low,1,Low,2,Low,14,Low,332.5,Low
McDonald’s,Ranch Snack Wrap® (Grilled),Chicken Sandwich / Wrap,270,Low,90,Low,10,Low,4,Low,0,Low,45,Low,830,Low,26,Low,1,Low,2,Low,18,Low,258,Low
McDonald’s,Honey Mustard Snack Wrap® (Crispy),Chicken Sandwich / Wrap,330,Low,140,Low,16,Low,4.5,Low,0,Low,30,Low,780,Low,34,Low,1,Low,4,Low,14,Low,324.5,Low
McDonald’s,Honey Mustard Snack Wrap® (Grilled),Chicken Sandwich / Wrap,260,Low,80,Low,9,Low,3.5,Low,0,Low,45,Low,800,Low,27,Low,1,Low,4,Low,18,Low,249.5,Low
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),Chicken Sandwich / Wrap,330,Low,140,Low,15,Low,4.5,Low,0,Low,30,Low,810,Low,35,Low,1,Low,4,Low,14,Low,324.5,Low
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),Chicken Sandwich / Wrap,260,Low,80,Low,9,Low,3.5,Low,0,Low,45,Low,830,Low,28,Low,1,Low,5,Low,18,Low,250.5,Low
McDonald’s,Angus Bacon & Cheese Snack Wrap,Chicken Sandwich / Wrap,390,Low,190,Low,21,Low,9,Low,1,Low,75,Low,1080,Mid,28,Low,1,Low,4,Low,21,Low,382,Low
McDonald’s,Angus Chipotle BBQ Bacon,Other,800,Mid,350,Mid,39,Mid,18,Mid,2,Mid,145,Low,2020,High,66,Low,4,Low,16,Low,45,Mid,789,Mid
